id,texto
1,"Os impactos ambientais do consumo excessivo é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. Os impactos ambientais do consumo excessivo é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário"
2,"A liberdade de expressão e seus limites é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A liberdade de expressão e seus limites é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda."
3,"O combate ao racismo estrutural no Brasil é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O combate ao racismo estrutural no Brasil é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O"
4,"O papel da cultura na formação do cidadão é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O papel da cultura na formação do cidadão é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções"
5,"O preconceito linguístico no Brasil é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O preconceito linguístico no Brasil é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda."
6,"O trabalho infantil no Brasil é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O trabalho infantil no Brasil é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O trabalho infantil no Brasil é um problema no"
7,"A crise hídrica e seus impactos é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A crise hídrica e seus impactos é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de"
8,"A influência das redes sociais nas relações pessoais é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A influência das redes sociais nas relações pessoais é um problema no Brasil. Muitas pessoas sofrem"
9,"O desperdício de alimentos é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O desperdício de alimentos é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação."
10,"A saúde mental na era digital é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A saúde mental na era digital é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação."

11,"A preservação da biodiversidade é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A preservação da biodiversidade é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A"
12,"Os impactos ambientais do consumo excessivo é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. Os impactos ambientais do consumo excessivo é um problema no Brasil. Muitas pessoas sofrem com"
13,"A violência contra a mulher é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A violência contra a mulher é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar"
14,"A evasão escolar entre jovens brasileiros é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A evasão escolar entre jovens brasileiros é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer"
15,"O papel da cultura na formação do cidadão é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O papel da cultura na formação do cidadão é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O papel"
16,"A importância do saneamento básico é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A importância do saneamento básico é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções"
17,"A importância da vacinação em massa é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A importância da vacinação em massa é um problema no Brasil. Muitas pessoas sofrem com"
18,"Desafios da mobilidade urbana no Brasil é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. Desafios da mobilidade urbana no Brasil é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As"
19,"A liberdade de expressão e seus limites é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. A liberdade de expressão e seus limites é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de"
20,"O papel da mulher na sociedade contemporânea é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O papel da mulher na sociedade contemporânea é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação."

21,"O desperdício de alimentos é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O desperdício de alimentos é um problema no Brasil. Muitas pessoas sofrem com isso. O governo precisa fazer alguma coisa. As pessoas precisam de ajuda. É necessário pensar em soluções para melhorar essa situação. O desperdício de alimentos é um problema no Brasil. Muitas pessoas sofrem"
